typeofcrop,geometry
PADDY,POINT (79.24527347999998 14.85073024)
Paddy,POINT (81.503705325 16.752315744999997)
Paddy,POINT (81.62672456000001 16.529149009999998)
Paddy,POINT (81.50213131500004 16.812721175)
Paddy,POINT (81.41093922999998 17.059914499999998)
PADDY,POINT (78.57425567499999 14.526944754999997)
PADDY,POINT (78.619071075 14.655985059999997)
PADDY,POINT (78.66319503499997 14.630355585)
PADDY,POINT (79.6987442835 15.7700150855)
Rice Paddy,POINT (80.80833901 21.064621680000002)
Rice Paddy,POINT (80.76376186000002 21.031586945)
Rice Paddy,POINT (80.751065485 21.027230499999995)
Rice Paddy,POINT (80.73913627000002 21.000951795)
Rice Paddy,POINT (80.62810832999999 21.0525728)
Rice paddy,POINT (80.64303317499999 21.054043899999996)
Rice Paddy,POINT (80.71206439500003 21.05968651)
Rice Paddy,POINT (80.72460308000001 21.037708950000003)
Rice Paddy,POINT (80.73783954500001 21.05345223)
Rice Paddy,POINT (80.737836705 21.05345342)
Rice Paddy,POINT (80.79406880500001 21.066336825)
Rice Paddy,POINT (80.72529162500003 21.084785700000005)
Rice Paddy,POINT (80.72141786 21.089140195000006)
Rice paddy,POINT (80.748204325 21.09286233)
Rice paddy,POINT (80.760873945 21.095127955000002)
Rice paddy,POINT (80.79987374500003 21.090167900000004)
Rice Paddy,POINT (80.73968238 21.115594030000004)
Rice paddy,POINT (80.84624777499998 21.118807030000006)
Rice Paddy,POINT (81.00060615500001 21.168119450000006)
Rice paddy,POINT (80.96283145 21.206884035)
Rice paddy,POINT (80.96063764000002 21.207667344999997)
Rice paddy,POINT (80.95208252500004 21.210150565000003)
Rice paddy,POINT (80.929113345 21.15458261)
Paddy,POINT (77.14301576300001 16.466733510999994)
Paddy,POINT (77.10786090949999 16.361481905999998)
Paddy,POINT (76.8000075485 15.75620253)
Paddy,POINT (76.83950216550001 15.751660504)
Paddy,POINT (76.86012654600002 15.760680009500001)
Paddy,POINT (76.88496165850002 15.771710682999995)
Paddy,POINT (76.91450679049998 15.785681953999998)
Paddy,POINT (76.97597101699999 15.806525879999999)
Paddy,POINT (76.975969392 15.807664058499999)
Paddy,POINT (77.00060142050002 15.820973038)
Paddy,POINT (77.0111657885 15.8328787895)
Paddy,POINT (77.0167014265 15.915313035000002)
Paddy,POINT (77.00072732499999 15.923749669500001)
Paddy,POINT (76.96410815099999 15.937566266999998)
Paddy,POINT (77.07095519750001 16.050552382)
Paddy,POINT (77.0715217945 16.053093769500002)
Paddy,POINT (77.076800991 16.0674233325)
Paddy,POINT (77.07555024 16.073889113000003)
Paddy,POINT (77.06236216 16.094838756999998)
Paddy,POINT (77.05111112600001 16.100296577500004)
Paddy,POINT (77.0362196585 16.1015740285)
Paddy,POINT (77.027567737 16.1051404245)
Paddy,POINT (77.0118256765 16.115167975)
Paddy,POINT (77.0064278525 16.123021060000003)
Paddy,POINT (77.00003156849998 16.132027321)
Paddy,POINT (76.99251123500001 16.142684866499998)
Paddy,POINT (76.98475778599997 16.154661679999997)
Paddy,POINT (76.97730937899999 16.1608373475)
Paady,POINT (76.5084011095 16.275419556)
Paddy,POINT (76.51099654599997 16.266571597500004)
Paddy,POINT (76.96622230899999 16.150046660999998)
Paddy,POINT (76.51186486399999 16.265036028000004)
Paddy,POINT (76.97392252350001 16.143647293499995)
Paddy,POINT (76.510904704 16.232467280499996)
Paddy,POINT (76.98278982549998 16.1361766445)
Paddy,POINT (76.509434557 16.225943455)
Paddy,POINT (76.99345432199998 16.131561333)
Paddy,POINT (76.50765790300001 16.211552392999998)
Paddy,POINT (76.50566223849997 16.211487557)
Paddy,POINT (76.50253764549998 16.2113860125)
Paddy,POINT (76.4991854065 16.209029780500003)
Paddy,POINT (76.49827940700001 16.202924838)
Paddy,POINT (76.50143297600002 16.200161701000003)
