geometry,typeofcrop
POINT (84.16813203 26.622691076000002),Mustard
POINT (84.164905809 26.562075763499998),Mustard
POINT (84.20059477200002 26.557331875),Mustard
POINT (80.755603405 21.095163995),Musterd
POINT (80.76267704499999 21.094651924999994),Musterd
POINT (80.77769415 21.108462484999997),Musterd
POINT (80.94766145999998 21.201936960000005),Mustard
POINT (80.91500661500001 21.14743499),Mustard
POINT (72.35931575500003 24.200601350000007),MUSTARD
POINT (72.30845689499998 24.20101386999999),MUSTARD
POINT (72.30600753999998 24.18190047999999),MUSTARD
POINT (72.310134655 24.17034855999999),MUSTARD
POINT (72.28544986499999 24.138391274999996),MUSTARD
POINT (72.32038274499999 24.242295844999994),MUSTARD
POINT (72.33155530499998 24.278873014999995),MUSTARD
POINT (72.35952456999999 24.279278805),MUSTARD
POINT (72.39864446500003 24.22402939500001),MUSTARD
POINT (72.41440001000002 24.20177320499999),MUSTARD
POINT (72.2836366 24.228075535),MUSTARD
POINT (72.07605644 24.22013497),MUSTARD
POINT (71.99067468999999 24.161924405),MUSTARD
POINT (71.95853939000001 24.127751355),MUSTARD
POINT (71.92079674499996 24.109740255),MUSTARD
POINT (71.88494797999998 24.110632729999995),MUSTARD
POINT (71.84776391999999 24.118130245000007),MUSTARD
POINT (71.79053048500002 24.110102765000008),MUSTARD
POINT (71.728308775 24.104657185),MUSTARD
POINT (71.72831832 24.104676769999998),MUSTARD
POINT (71.56995145500002 24.076466350000008),MUSATRD
POINT (71.49533921999999 24.086461399999997),MUSTARD
POINT (72.42468342499998 23.621840325),Mustard
POINT (72.43435619 23.62844989),Mustard
POINT (72.443183415 23.63987367),Mustarf
POINT (72.456148625 23.641358125000004),Mustard
POINT (72.484578965 23.653139180000004),Mustard
POINT (72.52185829499999 23.676488499999994),Mustard
POINT (72.56247884 23.724652825),Mustard
POINT (72.580168065 23.740636904999995),Mustard
POINT (72.60299702 23.754872380000002),Mustrad
POINT (72.62611819000003 23.809863104999998),Mustard
POINT (72.62553235 23.825638294999997),Mustard
POINT (72.625092765 23.83207513),Mustard
POINT (72.62129194999999 23.852222260000005),Mustard
POINT (72.572150975 23.815584904999998),Mustard
POINT (72.52389924500002 23.677727375),Mustard
POINT (72.31044025999998 24.375012864999995),MUSTARD
POINT (72.27598392499996 24.424730695),MUSTARD
POINT (72.2115798 24.433832974999994),MUSTARD
POINT (72.0013069 24.542168849999996),MUSTARD
POINT (71.97175790499998 24.56117156),MUSTARD
POINT (71.93980188499998 24.59068863999999),MUSTARD
POINT (72.51234348500002 23.64893095000001),Mustard
POINT (71.88827154000002 24.64350498),MUSTARD
POINT (71.87024681500002 24.65600793999999),MUSTARD
POINT (72.172225625 23.857892359999997),Mustard
POINT (72.51993690000002 23.634037595000002),Mustard
POINT (72.51176190999999 23.617755975),Mustard
POINT (72.178690435 23.857914475000005),Mustard
POINT (72.53317176999998 23.640341784999997),Mustard
POINT (72.19360602499998 23.86162845),MUSTARD
POINT (72.55093422499999 23.636376495),Mustard
POINT (72.56090212000001 23.638538844999996),Mustard
POINT (72.22415777500001 23.86898161),MUSTARD
POINT (72.56179241499999 23.642704834999996),Mustard
POINT (72.57557593000001 23.638123545000006),Mustard
POINT (72.58524052499999 23.637858805),Mustard
POINT (72.60316204499999 23.642747565),Mustard
POINT (72.60706510000001 23.638456975000004),Mustard
POINT (72.23685369999995 23.871116210000004),MUSTARD
POINT (72.242653525 23.872051619999997),MUSTARD
POINT (72.60770573 23.655351310000004),Mustard
POINT (72.26452521999997 23.878154950000003),MUSTARD
POINT (72.28109211499998 23.884279729999996),MUSTARD
POINT (72.63080231 23.630228454999994),Mustard
POINT (72.289837475 23.884864335),Mustard
POINT (72.64732696499999 23.620470755),Mustard
POINT (72.29719269 23.885342684999998),MUSTARD
POINT (72.66642121499999 23.607576164999994),Mustard
POINT (72.31381377 23.886705189999997),MUSTARD
POINT (72.35480701999998 23.89260126000001),MUSTARD
POINT (72.34554351 23.890637395),MUSTARD
POINT (72.32640756999999 23.8854905),Mustard
POINT (72.32640206 23.885490039999997),MUSTARD
POINT (72.27909253499999 23.88394786),Mustard
POINT (72.25616982 23.874722494999993),Mustard
POINT (72.25616038999999 23.87472560999999),MUSTARD
POINT (72.248927895 23.821647980000005),Mustard
POINT (72.23139410499999 23.827170655000007),MUSTARD
POINT (72.20537000000002 23.840019320000003),MUSTARD
POINT (72.17860998 23.844939439999997),MUSTARD
