geometry,typeofcrop
POINT (84.27480693049998 26.599322946500003),Wheat
POINT (84.27480688299997 26.599323107000004),Wheat
POINT (84.20059484500001 26.557332155999994),Wheat
POINT (84.01205301600001 27.055911797),Wheat
POINT (84.48924526350001 26.4924443355),Wheat
POINT (84.49450801999997 26.492412044),Wheat
POINT (80.78138648 21.034382625000003),Wheat
POINT (80.78137115499999 21.034364134999997),Wheat
POINT (80.69263897 21.021561895),Wheat
POINT (80.739743165 21.033261669999995),Wheat
POINT (80.73806574 21.048713665),Wheat
POINT (80.788312945 21.073495794999996),Wheat
POINT (80.76919835499999 21.052561349999998),Wheat
POINT (80.74871084000003 21.075277175),Wheat
POINT (80.72145341999999 21.08912877000001),Wheat
POINT (80.75284093999997 21.075173109999998),Wheat
POINT (80.79985833500001 21.09018743),Wheat
POINT (80.79297414499999 21.107417885),Wheat
POINT (80.788622245 21.121506424999996),Wheat
POINT (80.753808215 21.113452155000004),Wheat
POINT (80.84113883999997 21.128204209999993),Wheat
POINT (81.00060069999998 21.168095729999997),Wheat
POINT (80.991941255 21.188646794999997),Wheat
POINT (80.96064719 21.20765621),Wheat
POINT (80.93905619999998 21.184118634999997),Wheat
POINT (80.926079225 21.193414444999995),Wheat
POINT (80.9149537 21.150546215),Wheat
POINT (80.86159468000002 21.204256799999992),Wheat
POINT (80.82659940500002 21.19676828),Wheat
POINT (80.84499916500002 21.254410904999993),Wheat
POINT (80.662555845 21.028316445),Wheat
POINT (80.66548493000002 21.031473169999995),Wheat
POINT (80.68457875499999 21.022995560000002),Wheat
POINT (80.654971425 21.019293675000007),Wheat
POINT (80.55848425000002 20.960111109999993),Wheat
POINT (80.55381141000001 20.940157600000006),Wheat
POINT (80.55428989500001 20.93294855000001),Wheat
POINT (80.57615165000001 20.902156135000002),Wheat
POINT (80.58664141 20.886137165),Wheat
POINT (80.57948076500001 20.886253215000007),Wheat
POINT (80.58663174 20.868237755000003),Wheat
POINT (80.57416746500003 20.867883449999994),Wheat
POINT (74.36029511999996 22.66362867000001),WHEAT
POINT (74.26826449500001 22.711132195),Wheat
POINT (74.07049930999997 22.979652619999992),Wheat
POINT (74.07052296000002 22.979674754999998),Wheat
POINT (74.3578082 22.662477944999992),Wheat
POINT (74.256591245 22.71067159),Wheat
POINT (74.08524685999998 22.977206610000003),Wheat
POINT (74.08531347499999 22.9772146),Wheat
POINT (74.08150967 22.982066284999995),Wheat
POINT (73.86701891 22.574239075),Wit
POINT (74.11195008499999 22.938704675000004),Wheat
POINT (74.06681669999998 23.268221700000012),Wheat
POINT (74.108501935 22.938053664999998),Wheat
POINT (73.872842905 22.575225515000007),Wit
POINT (72.808160238 22.4890613655),Wheat
POINT (74.23976115500001 22.687188635),Wheat
POINT (74.066838955 23.268223474999992),Wheat
POINT (74.233099995 22.68437915),Wheat
POINT (74.23307728500001 22.684394199999993),Wheat
POINT (73.892435975 22.566625445000003),Wit
POINT (73.89296826999998 22.567398725),Wit
POINT (74.19657854 23.01989284),Wheat
POINT (74.26032118500001 22.83493006),Wheat
POINT (72.8081899885 22.488815106999994),wheat
POINT (74.26024577000001 22.834947395000004),Wheat
POINT (74.054363335 23.243377969999994),Wheat
POINT (73.98493797500001 23.215061534999997),Wheat
POINT (74.05636670499999 23.25833592499999),Wheat
POINT (74.23795347500001 22.669314885),Wheat
POINT (74.23748910000002 22.66927381),Wheat
POINT (74.18570956499998 22.738984685000002),Wheat
POINT (74.18643136499999 22.737991219999998),Wheat
POINT (74.145513685 22.772930345000002),Wheat
POINT (73.08031067 24.04005699),Wheat
POINT (74.00635901499997 23.216748195),Wheat
POINT (74.15278869999999 22.778495104999994),Wheat
POINT (74.01117404499999 23.211746854999998),Wheat
POINT (74.078478875 23.256847965000002),Wheat
POINT (74.17259419999999 23.00653026),Wheat
POINT (74.01116039499996 23.211797405000006),Wheat
POINT (74.07998692499999 23.248080890000004),Wheat
POINT (74.22545829999997 22.827243300000006),Whaet
POINT (72.71847083333334 22.455436333333346),Wheat
POINT (72.72578841666669 22.44743533333333),Wheat
POINT (74.00770032499999 23.21619304499999),Wheat
POINT (74.09486546000001 23.26301962),Wheat
POINT (74.26869756499998 22.84682747),Wheat
POINT (73.83600317500002 22.731920929999998),Whait
POINT (74.22465886000002 22.82752924500001),Wheat
POINT (74.26866112750002 22.846796032999997),Wheat
